__source__,__time__,__topic__,alb_rule_id,app_lb_id,body_bytes_sent,client_ip,client_port,host,http_host,http_referer,http_user_agent,http_x_forwarded_for,http_x_real_ip,read_request_time,request_length,request_method,request_time,request_uri,scheme,server_protocol,slb_headers,slb_pool_name,slb_vport,slb_xtrace,ssl_cipher,ssl_protocol,status,tcpinfo_rtt,time,upstream_addr,upstream_response_time,upstream_status,vip_addr,write_response_time,xtrace_type
log_dispatch,1755446403,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,154,197.184.103.128,12402,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,240,GET,0.011,/v1/api/sport/matchs/followed?sportType=FOOTBALL&lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,313848,2025-08-18T00:00:03+08:00,172.29.48.117:8888,0.011,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,285,197.184.103.128,12407,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,225,GET,0.014,/v1/api/banners/COMMUNITY_FOR_YOU?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,286609,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.014,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,548,197.184.103.128,12404,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,214,GET,0.012,/v1/api/user/getConfig?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,285023,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.012,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,83,197.184.103.128,12407,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,241,GET,0.015,/v1/api/sport/teams/followed?sportType=BASKETBALL&lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,284250,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.014,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,78,197.184.103.128,12408,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,243,GET,0.009,/v1/api/sport/leagues/followed?sportType=BASKETBALL&lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,305407,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.009,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,1455,197.184.103.128,12386,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,312,POST,0.037,/v1/api/community/subscription/getCreators?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,284865,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.037,200,172.16.0.106,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,72,197.184.103.128,12386,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,242,GET,0.019,/v1/api/sport/matchs/followed?sportType=BASKETBALL&lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,285432,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.018,200,172.16.0.106,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,84,197.184.103.128,12405,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,241,GET,0.009,/v1/api/sport/leagues/followed?sportType=FOOTBALL&lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,305684,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.009,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,103,197.184.103.128,12403,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,239,GET,0.009,/v1/api/sport/teams/followed?sportType=FOOTBALL&lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,304689,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.008,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,74,197.184.103.128,12385,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,388,POST,0.023,/v1/api/message/bind?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,283907,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.022,200,172.16.0.106,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,123,197.184.103.128,12404,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,213,GET,0.013,/v1/api/version/check?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,287181,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.013,200,172.29.48.76,0,none
log_dispatch,1755446404,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,122,197.184.103.128,12386,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,230,GET,0.009,/v1/api/community/article/getSportType?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,286611,2025-08-18T00:00:04+08:00,172.29.48.117:8888,0.009,200,172.16.0.106,0,none
log_dispatch,1755446405,alb_layer7_access_log,rule-s7jp868w0ubhv6r852,alb-g2dksz7pkuve2b00ry,756,197.184.103.128,12402,api.sooscore.com,api.sooscore.com,-,huaying|1.3.2|23|TP1A.220624.014|Android|13|9d3d6ea008f7038d|googleplay,-,-,0,239,GET,0.299,/v1/api/community/article/findActiveTeamLeagues?lang=en_GB,https,HTTP/1.1,{},default-app-web-agg-service-8888,443,-:-:-:-,ECDHE-ECDSA-AES128-GCM-SHA256,TLSv1.2,200,318591,2025-08-18T00:00:05+08:00,172.29.48.117:8888,0.299,200,172.29.48.76,0,none
